timestamp,platform,user_id,first_name,last_name,birth_date,action,ip_address,status
2025-08-06 12:06:14,OFPPT Langues,user15,gAAAAABokzcmOtN8dYNIcE0OyBO9yXVxy7tET5iZz7hudwSO0xVoZGBk5-OnQFPQuQcj9L6HZVyDnPO_Zth9HqMA6DIf5K3OiQ==,gAAAAABokzcmpoaOSt9h8fdTFB8moqwmHsJcyAwsskNACQHDrsOdZ3ikI5q2clLofwB12K694_6AKcUjxP0balaW6w7BLUjiWg==,gAAAAABokzcmJFloXKMJg23JzY_9fliD8GJ5LqgMFVCF8OgxWG5Np_b4f94tZR5ixOcWg1ejwEwHMAtFMI5Vbhqv-lO4CXLWGA==,access_resource,192.168.1.233,success
2025-08-06 12:06:14,Electude,user88,gAAAAABokzcmvWCQHyIK47jNI3VtPh-WWv9Fz1VUEipvmYTb1x7h2ph1d-AH74-JmOo_0gdep7tb37GYec8DmCjIKIVIoNE27A==,gAAAAABokzcmk6uizryJojm1WWKPrSR8o2-disLWEieAO0jgnxSihBHBAZDQZlD7pLkkK0SQp2FantOJKO4IPklIhHuY588j8w==,gAAAAABokzcmU3n_bb3-yBl2qw8sPK57HBTa9U-yeSN-0XOAr6H1dIpE8nVNUyj1Z9KUgir4VdNwhLGQYbUk_fVYwLsBeYtKsA==,access_resource,192.168.1.163,success
2025-08-06 12:06:14,Electude,user59,gAAAAABokzcmCvdnberNhTDDEm-uiBqpIgAxCkpQiExBpSc4opsR5NXSWFxJ7V1r_I6jvkvFkm9WSjOVYl51N2_4QFelKv2H6A==,gAAAAABokzcmOBuaDF2zy9ry5x191EDNUUMg_IgokOKI7nIT5qexmGi1ng07fNpwK397tJ1GbUESMO25AIXbqlp8zZZ0ANtUPQ==,gAAAAABokzcmoW8GK5aT-5CG8-tRjjN_ExXuUOZ5d9dbVwmciYgGgM5fIjVigPgSGIZ1eIBSJkfeKo1QkLqMEPV3QGTMikfbmg==,login,192.168.1.242,success
2025-08-06 07:06:14,Electude,user83,gAAAAABokzcm8WjuP6hazlChvCjm6dqxOgxqqXU35YtlkpazsR93JG-KU6H5Gma61X4GDd0ZXIOgwMls-UOw0DNs7OrU0zLcOw==,gAAAAABokzcmDZGOpl0M1PONTX0URtLIoPbaR51oO9DbmOeg-pVuh0nGGXfYZV7UiCkWtXKTYoWuAM3Vtay-6t8pw68nyl0Esw==,gAAAAABokzcmoOLnqieHBvZi1zRw8pwkBW9oXjXOL7R9lAVocwhE9r1rjkz0yPEJOwHblI1Km4BN_K45Bcbk6XbvvMvfhrH1fA==,login,192.168.1.221,failure
2025-08-06 12:06:14,OFPPT Academy,user62,gAAAAABokzcmeY8OTTeEXZIt7P8SkF2VZRmQ2cB3MaqnSPgm2tScSYd1I7zdSK8DZCmpmFxWuN90Tdjyp2E4ps8_rkDz9iSjfw==,gAAAAABokzcm3aKB27r-ZmfbYdfn7FAQGadaeeXz7cOxvaXD3zQc2F-YSuerA86gK96y7Oq1V9t2pfG5ZcoPpYnE0aUD5W19XQ==,gAAAAABokzcmgpSCKONdNgpjVBrV09ANG9kZ-RZY76OWIdC2YGJuYO6TcXs7iRSL6PGkim3i398p_t-dKlUgN_BMZdWVmHGFxA==,login,192.168.1.69,success
2025-08-06 12:06:14,Electude,user68,gAAAAABokzcmOBwRoHLwkgQsVNKCsaWXrRdBB_64IN1UsBoMSGAAaDU3yfxHWekAw9RGYeOHD0s-K5Yz_49n1WLE-li17y91bg==,gAAAAABokzcmqMdyTL7kSgnxmG7bPCWgzai76OFoGh_0YVCoYZqjiMuXCAdI91nbvZcA5eEQ1RVEQtADEH4oBPV7NEVy3e1W_w==,gAAAAABokzcmMPEqSdBmJByFzEO9AB0MpZ7z0sQEqDmYbcxuwP-gxnlIjI8T9n7wvZ6swxAOx85ZQVjYoxbLxYw4xDIlL7-UZQ==,login,192.168.1.192,success
2025-08-06 12:06:14,Electude,user15,gAAAAABokzcmOtN8dYNIcE0OyBO9yXVxy7tET5iZz7hudwSO0xVoZGBk5-OnQFPQuQcj9L6HZVyDnPO_Zth9HqMA6DIf5K3OiQ==,gAAAAABokzcmpoaOSt9h8fdTFB8moqwmHsJcyAwsskNACQHDrsOdZ3ikI5q2clLofwB12K694_6AKcUjxP0balaW6w7BLUjiWg==,gAAAAABokzcmJFloXKMJg23JzY_9fliD8GJ5LqgMFVCF8OgxWG5Np_b4f94tZR5ixOcWg1ejwEwHMAtFMI5Vbhqv-lO4CXLWGA==,login,192.168.1.174,success
2025-08-06 12:06:14,Electude,user99,gAAAAABokzcmd3Bs8cPsrTkgcshSN8hvlO-du3kYvWiodig_pctgv4ptTm27CqTGowfiR1ZHJ5khjmLz-BMxI8hW9eZtdZH53A==,gAAAAABokzcmxfdTJp3KIh7MZ90VCpu2gB3Tv_h07P8zCy30TzkOd8g8wpqYcfthSFdPbbawmeJ-IBFCOKkm1GpobMS3SKCjfQ==,gAAAAABokzcm2d3DwImLwHzf-QhPUcm_-6RAsP4c7KC76wpi6WFZVe8VQg_R6s2wv_O6rp4vqv7EO_Y9NtDzFl_06pWYYqUtIA==,login,10.0.0.59,failure
2025-08-06 12:06:14,Electude,user7,gAAAAABokzcmc3LCbxCDO_uCKDDD4_4dzsrmPgt6k_Yzizhs_FWh1hffwTTMxs06J8P200iLUNRVBJvhUxGfB2MvFC7jGAnv2w==,gAAAAABokzcmL3a9OUBl5wInHrPs4MPXnCjt2uQy12LR0ks0rKhZawu_P7w24kPw55YJvRYMx-ByUmpgJp5lOuAXmZWC748C4g==,gAAAAABokzcmyVpzPHkgX42Ynw8zr6yJ85jpkJRbjlIVkir1z7J3-qgMkqcK_78C9qFXpKwkcTeYRVufOAcvMMMLLSFUZ_BvFA==,access_resource,192.168.1.193,success
2025-08-06 12:06:14,OFPPT Academy,user51,gAAAAABokzcm9Ja6I0zj5FZG4RpsmCJx_8in4xZrn1WIhoHbj7h6BT4lbnX5soJCJVvN-bvvk4zDEt62VrfP23moL-m9G_IugQ==,gAAAAABokzcmjxz1NJEEClf-_p2LXMlWse9MKmvff-MvtyG57cI3ZLZ4gQytyXHhDgL44-Z0rHlT5ziUd3AEfexVuibbFLgk2g==,gAAAAABokzcmo7RP5NAwW1R20xIhaJf2onWHsMFS758zGNgq1xf_og2I1RpWOSdd60RaNVLVjIq-ChX-zlJvNOOBeOCVjvr_rA==,login,192.168.1.7,success
